"hole_id","sub_area_id","hole_type_id","hole_design_id","equipment_id","name","depth","time_start","time_end","drilling_time","collar_elevation","heading","mast_angle","start_h_accuracy","start_v_accuracy","end_h_accuracy","end_v_accuracy","validity","start_position","end_position","hole_profile_id","hole_id","time_start","time_end","start_depth","end_depth","frequency","force_on_bit","torque","rop","air_pressure","vibration","blastability","rock_type_id","work_reason_id"
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",340,100,"2010-06-20 22:07:50","2010-06-20 22:07:57",2.0999999,2.2,0,691.95697,2.4000001,0.020500001,1483100,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",341,100,"2010-06-20 22:07:57","2010-06-20 22:08:02",2.2,2.3,0,695.09497,2.5999999,0.0199,1520600,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",342,100,"2010-06-20 22:08:02","2010-06-20 22:08:07",2.3,2.4000001,0,693.33002,2.7,0.0229,1524500,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",343,100,"2010-06-20 22:08:07","2010-06-20 22:08:12",2.4000001,2.5,0,691.76099,2.5,0.018300001,1540900,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",344,100,"2010-06-20 22:08:12","2010-06-20 22:08:17",2.5,2.5999999,0,689.30902,2.3,0.0195,1508100,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",345,100,"2010-06-20 22:08:17","2010-06-20 22:08:23",2.5999999,2.7,0,689.211,2.3,0.020300001,1502500,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",346,100,"2010-06-20 22:08:23","2010-06-20 22:08:27",2.7,2.8,0,688.81897,2.3,0.018100001,1436300,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",347,100,"2010-06-20 22:08:27","2010-06-20 22:08:31",2.8,2.9000001,0,686.073,2.3,0.017000001,1394400,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",348,100,"2010-06-20 22:08:31","2010-06-20 22:08:37",2.9000001,3,0,688.81897,2.3,0.021199999,1446700,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",349,100,"2010-06-20 22:08:37","2010-06-20 22:08:42",3,3.0999999,0,687.34802,2.2,0.0195,1391400,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",350,100,"2010-06-20 22:08:42","2010-06-20 22:08:48",3.0999999,3.2,0,687.34802,2.2,0.020300001,1328100,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",351,100,"2010-06-20 22:08:48","2010-06-20 22:08:54",3.2,3.3,0,688.91699,2.0999999,0.017000001,1461100,0,0,100,100
